Platz,PAK,SNR,Name,Vorname,Verein,AK,Zeit,Schwimmen,Rad,Laufen,Details
460,87,578,Brückner,Eric,Leipzig,AK 35,03:08:08,00:40:26,01:20:15,01:00:19,Details
461,55,785,Rauschenbach,Christian,Leipzig Süd,AK 30,03:08:11,00:44:05,00:00:00,00:55:44,Details
462,20,161,Rudolf,Frank,ERDINGER Active TEAM,AK 60,03:08:16,00:38:58,01:17:51,01:04:30,Details
463,50,354,Schmidt,Jörg,Markkleeberg,AK 50,03:08:19,00:34:25,01:21:30,01:04:10,Details
464,21,773,Giesecke,Frank,TC Mers,AK 60,03:08:28,00:37:29,01:19:52,01:03:00,Details
465,22,237,Thiede,Karsten,Triathlonfüchse Osterburg - Team Ultrasports,AK 60,03:08:38,00:34:10,01:15:01,01:13:16,Details
466,48,372,Brückner,Thomas,TV Moritzburg,AK 55,03:08:50,00:41:39,01:22:16,00:56:21,Details
467,56,509,Andrae,Maximilian,Rückenwind,AK 30,03:09:45,00:32:41,01:28:01,01:00:46,Details
468,57,756,Hauber,Valentin,Leipzig,AK 30,03:09:48,00:37:06,01:33:23,00:51:30,Details
469,49,313,Viehweg,Kay,Wurzen,AK 55,03:10:13,00:43:11,01:18:38,01:02:04,Details
